other_loc_name,other_loc_address
Louis Vuitton Valencia,"Carrer del Poeta Querol, 5, 46002 València, Valencia, Spain"
Grand Service Station and Car Wash,"Al Warqa Street 4, Near Dubai Women's College - Dubai"
Pier Timmendorfer beach,"Strandallee 73, 23669 Timmendorfer Strand, Germany"
مسجد الوالدين,16 46th St - Dubai
Isabel,"26 Albemarle St, Mayfair, London W1S 4HY, United Kingdom"
Train Strength & Fitness,6 4th St - Dubai
Tops Diner,"500 Passaic Ave, East Newark, NJ 07029, United States"
Burlington Tower,Marasi Dr - Dubai
Kuta Puri Bungalows Resort & Spa,"Poppies Lane I, Jl. Pantai Kuta, Kuta, Badung Regency, Bali 80361, Indonesia"
Rosebank Mall,"50 Bath Ave, Rosebank, Johannesburg, 2196, South Africa"
INTERSPORT Günther,"Dorfstraße 24, 6391 Fieberbrunn, Austria"
Westerpark,"Haarlemmerweg 4, 1013 RW Amsterdam, Netherlands"
McDonald's,"Ajman Eppco Station Al Gaith, New Industrial Area - Ajman"
Domino's Pizza,"Ground & First Floor, Janvilla, T.C-9, 2522-2, Vellayambalam - Sasthamangalam Rd, opposite Kingfisher Airlines Office, Althara Nagar, Vellayambalam, Thiruvananthapuram, Kerala 695010, India"
Bilal General Transport LLC,"16 A Street,Al Quoz Industrial Area 4 - Dubai"
ACDelco for Car Repair and Maintenance,"King Khalid Rd, Al Hofuf 36361, Saudi Arabia"
Al Gargawi Bldg,Al Nakheel Tower - 110 Corniche St - Sharjah
Candylicious,Financial Center Rd - Dubai
Gimhae Nakdong River Rail Bike,"654-4 Masa-ri, Saengnim-myeon, Gimhae-si, Gyeongsangnam-do, South Korea"
"Section 6, OK shop","Triangle, Zimbabwe"
Community Restaurant,104 106th St - Dubai
TUNCO Frogner,"Skovveien 3, 0257 Oslo, Norway"
STUDIO Theater,"plac Defilad 1, 00-901 Warszawa, Poland"
Basseyn Nemo,"Saksahanskoho St, 100, Kyiv, Ukraine, 02000"
Walmart,"11400 Hwy 99, Everett, WA 98204, United States"
McDonald's,Enoc Station 6001 - Dubai
Mercadillo Cabo De Palos,"30370 Cabo de Palos, Murcia, Spain"
Omega Hotel,17 19th St - Dubai
Odhen's Hotel,"Onden Rd, near Saranya Hotel, Kannur, Kerala 670001, India"
Apey Bojun Luxury Inn,"No 18. Kandy-Jaffna Highway (A9), Thotagamuwa, Palapathwela 21000, Sri Lanka"
Nike Factory Store,"1614 Route Nationale 7, 06270 Villeneuve-Loubet, France"
Mohammed Bin Saeed Brouk Mosque,Al Dhafrah - Abu Dhabi
Ghafat al Baqar,Sharjah
Juice World - Al Rigga (Near Rigga metro station),"Al Rigga Street (near Al Rigga Metro Station), Deira - Dubai"
Hunza Block Market,"Hunza Block Allama Iqbal Town, Lahore, Punjab 54000, Pakistan"
Pinecrest,"11000 Red Rd, Pinecrest, FL 33156, United States"
Madox,"Boulevard Mohamed VI, Marrakesh 40000, Morocco"
Poornima Theatre,"1st Cross Road, Jayachamaraja Rd, Bengaluru, Karnataka 560027, India"
White House Block I,"6-3-1192, 1/1, Greenlands Rd, Kundanbagh Colony, Begumpet, Hyderabad, Telangana 500016, India"
UOWD Student Residence/Dorms,Dubai
Al Rabi Tower,Sharjah
ملك البروستد والشاورما الطازج,"Al Khalidiya Area, Near Bait Al Mandi & Madhbi - Abu Dhabi"
مطعم بيستون صمد للمأكولات العراقية,Al Ghurair Centre - Al Rigga Rd - Dubai
HP Petrol Pump,"B-1A/14, Block B, Sector 51, Noida, Uttar Pradesh 201303, India"
Hotel Junior Kuppanna,"4,Kannaiya Street, N Usman Rd, Near Reliance Fresh, T. Nagar, Chennai, Tamil Nadu 600017, India"
"Hotel Highway Xpress Behror (Madhavo Midway, Behror Midway)","National Highway, 8, Delhi - Jaipur Expy, Behror, Rajasthan 301701, India"
Nike Store,"Chorzowska 111, 40-101 Katowice, Poland"
Collegiate American School,"50, Al Maydar Street, Formerly Street 34 - Dubai"
Asian Tandouri,"طريق الكورنيش،، Al Sahil, Al Khobar 34611, Saudi Arabia"
Sanad Al Madina Supermarket,England Z02 - Y14 - Dubai
العقارية المتطورة,"Al Hamadaniyah District, حي الحمدانية، 7276, Jeddah 23761, Saudi Arabia"
Hospůdka V Podhradí,"Kámen 10, 394 13 Kámen, Czechia"
Kora Santacruz,"Shop No. B, Ground Floor, Victoria Plaza, SV Rd, near Poddar School, Santacruz West, Mumbai, Maharashtra 400054, India"
روائع أمواج البحار للمأكولات البحرية,"Taybah, Dammam 32273, Saudi Arabia"
홈플러스 마산점,"South Korea, Gyeongsangnam-do, Masanhoewon-gu, Yangdeok 2(i)-dong, Samho-ro, 56"
Al Dahiya,"Abu Bakr Alsiddiq St, Al Nada, Dammam 32271, Saudi Arabia"
Salón de té Pablo,"Avd/Alay edif. Diana 1 local 25, 29630 Benalmádena Costa, Málaga, Spain"
Discount Moving Company,53rd St - Abu Dhabi
Zamindar Kesar King,"Higher Secondary School, National Highway Lathpora, Pampore, Jammu and Kashmir 192121"
Find Salt,Dubai
Mewada Green Party Plot,"Nava Naroda Rd, Shree Ram Chowk, Nikol, Ahmedabad, Gujarat 382330, India"
AL SULTAN HAJJ N UMRAH,Dubai
Obai Bin Kaab Mosque,"Dhahrat Laban, Riyadh 13782, Saudi Arabia"
Shree Ambaji Temple,"Kukavav Road, Amreli, Mangvapal, Gujarat 365601, India"
Roadchef Northampton M1 Northbound,"M1 Junction 15A Northbound NN4 9QY, United Kingdom"
Lokma Tamam,"Ash Shabili, As Sulimaniyah, Unayzah 56462, Saudi Arabia"
PAUL Bakery & Restaurant - Dubai Festival City Mall,Dubai Festival City - Dubai
Rush Inn Hotel,110 Khalid Bin Al Waleed Rd - Dubai
Restaurante La Tagliatella | Andorra,"Av. Carlemany, 91, AD700 Escaldes-Engordany, Andorra"
EXPO2020-Opportunity Pavilion,Dubai
Canyon Breeze Restaurant,"300 N, AZ-89A, Sedona, AZ 86336, United States"
Al Jazeera Markets,"شارع موسى بن نصير،، As Sulimaniyah, Riyadh 12241, Saudi Arabia"
Tamara Lebanese Bistro,"The Waterway Mohammed Nagib Axis, Cairo Governorate, Egypt"
McDonald's Drive Thru,"Enoc 1083 Petrol Station, Um Nahad 2, Road - Dubai"
Byblos Fishing Port,"Byblos, Lebanon"
Al Tazaj Restaurant,"Al Qunfudhah 21912, Saudi Arabia"
Tahona,"Biteri Kalea, 31, 20100 Errenteria, SS, Spain"
Marigold Hotel & Resort,"Changanassery Bypass, Anandasramam, Changanassery, Kerala 686101, India"
Accupack Industries,"Plot No. 7704 Nr. Karmatur Chowkdi, GIDC, Ankleshwar, Gujarat 393002, India"
x-kom,"Centrum Handlowe Promenada, Ostrobramska 75c/J01, 04-175 Warszawa, Poland"
Rotisserie Charcos,"2005 Bishop St, Montreal, Quebec H3G 2E9, Canada"
Fugro Middle East B V,56 24B Street - Dubai
Galleria Mall,"Al Khamis Road، Fanateer, Al Jubail 35811, Saudi Arabia"
Hiksweets,شارع الشيخ حميد بن راشد النعيمي - Ajman
Bagni Martini,"Lungomare Armando Diaz, 17023 Ceriale SV, Italy"
SMSA Express,"King Fahd Rd, Al Bawadi, Jeddah 23446, Saudi Arabia"
Hp Petrol Pump,"Barkagaon North, Bihar 843123, India"
Layali Marakesh Ladies Saloon,Sharjah
Sushi Si,"Via XX Settembre, 41, 16121 Genova GE, Italy"
Els Arcs,"08009 Barcelona, Spain"
Masa Cafe,"شارع الروان، Najaf, Iraq"
Candlewood Suites Houston (the Woodlands),"17525 St Lukes Way, The Woodlands, TX 77384, United States"
"AG CARS Services LLC , Al Quoz",9 26th St - Dubai
روعة المنتزه للشقق المفروشة,"King Khalid Rd, Alnaseem, Taif 26524, Saudi Arabia"
Masjid-e-Bilal,"Khanpur Ada Graveyard Road, Rahim Yar Khan, Punjab 64200, Pakistan"
Aluna,"4 Broad Quay, Bristol BS1 4DA, United Kingdom"
the shoppes at Mandalay Place,"3950 S Las Vegas Blvd, Las Vegas, NV 89119, United States"
Mövenpick Hotel & Resort Al Bida'a Kuwait,"22084 Salmiya, Kuwait, Kuwait"
Hanif Rajput Caterers pvt ltd,"11, 12 Block 19, Alladad Plaza, G 8 Markaz, G-8, Islamabad, Islamabad Capital Territory, Pakistan"
Marbella Club Hotel,"Av. Bulevar Príncipe Alfonso de Hohenlohe, s/n, 29602 Marbella, Málaga, Spain"
The Crafty Cow,"36 The Green, Birmingham B36 9AL, United Kingdom"
Bora Coffee Co,"219-221 Stratford Rd, Shirley, Solihull B90 3AH, United Kingdom"
Celestia hotel Damac Maison,Jebel Ali - Lehbab Rd - Dubai
Keller Grundbau GmbH,Palace Towers - 1 25th floor - Dubai
BLS International Services,"Shop No# 13, Ground Floor, Zeenah Building، Opposite to Deira City Center P3 Parking - Dubai"
"Restaurante La Tagliatella | Juan Bravo, Madrid","Calle de Juan Bravo, 35, 28006 Madrid, Spain"
bonÀrea,"Carrer de Sant Pere Més Baix, 30, 08003 Barcelona, Spain"
Pizza Hut,"El Golf Street, Next to Henry Shehab Barracks and the European Shopping Centre، Jnah, Lebanon"
Trivandrum Club,"CV Raman Pillai Rd, Vazhuthacaud, Thiruvananthapuram, Kerala 695010, India"
Sham views,"4079 Abdulrahman Al Ghafaqi, Riyadh 13213, Saudi Arabia"
Lamagon Sweet,Al Mamzar Centre - Dubai
Des Pardes,"Saidpur Rd, Saidpur, Islamabad, Islamabad Capital Territory 44000, Pakistan"
Sheikh Al Mandi Restaurant,Umm Al Quawain
Karaköy multistorey car park,"Kemankeş Karamustafa Paşa, Mumhane Cd. No:5, 34425 Beyoğlu/İstanbul, Turkey"
Temple,"1-8-28, Rajendra Nagar Rd, Ambedkar Nagar Colony, Manikyamma Colony, Rajendranagar mandal, Hyderabad, Telangana 500030, India"
Hotel Terme Preistoriche,"Via Castello, 5, 35036 Montegrotto Terme PD, Italy"
Urban Seafood,Dubai
Planet Organic,"22 Torrington Pl, Bloomsbury, London WC1E 7HJ, United Kingdom"
Fogão Gaúcho,"Av. Marquês de São Vicente, 1767 - Barra Funda, São Paulo - SP, 01139-003, Brazil"
Onkel Toms Hütte,"Alte Poststraße 17, 57072 Siegen, Germany"
Oasis sky events,"King Fahd Branch Rd, الصحافة،، Riyadh 13315, Saudi Arabia"
Golden Hair Ladies Saloon,Hamdan Bin Mohammed Street Abu Dhabi (Al Yousif Center 1st Floor Unit 15)
Golden Mile 10,Dubai
Razak Balogun Recreational Field,"13 Razak Balogun St, Surulere, Lagos, Nigeria"
Tip Top MEGA STORE - MOEMA,"Alameda Jauaperi, 1351 - Moema, São Paulo - SP, 04523-015, Brazil"
شحن سيارات من الكويت الى مصر,"مجمع اوتاد, Kuwait"
Cafe CentreVille - كافيه سنترڤيل,"Beirut, Lebanon"
"Shaan Theater, Karukachal","Changanassery - Vazhoor Rd, Karukachal, Kerala 686540, India"
Dubai Modern Education School,"Algeria St,Al-Mizher - Dubai"
Marina,"POTIDAIA, Nea Potidea 632 00, Greece"
Babel Pastries,"Mohammed Al Fatih, Ar Rakah Al Janubiyah، Ar Rakah Al Janubiyah, Al Khobar 34226, Saudi Arabia"
Cream Centre,"2, Viviana Mall, Eastern Express Hwy, Laxmi Nagar, Thane, Maharashtra 400610, India"
The Chocolate Bar,Al-Ta'awen St Argan Al Bidaa، Kuwait
La Ceaun - Piata Sfatului,"Piața Sfatului 11-12, Brașov 500031, Romania"
Al Sorour Bakeries,Al Kuwait St - Ajman
Sham Cafe,"Prince Fahd Ipn Sultan Branch Rd, طريق المدينة قرب تويوتا، Tabuk 47316, Saudi Arabia"
CRÄMER & CO GmbH,"Breite G. 18, 90402 Nürnberg, Germany"
Ahmed Honda Centre,"Multan Rd, Kharak Nala, Sabzazar Scheme, Sabzazar Block H Sabzazar Housing Scheme Phase 1 & 2 Lahore, Punjab 54500, Pakistan"
Lido de Paris,"116 Av. des Champs-Élysées, 75008 Paris, France"
"Albutha Matha Alayam, Christ Bhavan Retreat Centre","Kalingarajapuram, Chinnathurai, Tamil Nadu 629176, India"
Speelbos Huttenbos,"Den Haag, Netherlands"
Aster (Garden),Dubai
TEAM TORQUE CAR CARE,"Pattaru Mukku, Umayanalloor, Kottiyam, Kerala 691589, India"
Los Ranchos Steakhouse,"401 Biscayne Blvd N200, Miami, FL 33132, United States"
krave Restaurant,"Al Shiba Tower, Next to Bluemart Supermarket, Tecom، Barsha Heights - Dubai"
Beanhearts Coffee,"Prospekt Khusaina Yamasheva, 46, Kazan, Tatarstan, Russia, 420124"
Mount Faber Park,"Junction of Kampong Bahru Road and, Telok Blangah Rd, Singapore 099448"
보승회관,"South Korea, Seoul, Gangseo-gu, Gayang 1(il)-dong, 마곡중앙6로 16"
Shell,"Makarpura Rd, GIDC Industrial Area, Tarsali, Vadodara, Gujarat 390014, India"
Axis 7 Building Dubai Silicon Oasis,Dubai
مسجد المرحومة أمنة بنت عيسى احمد لوتاه,Dubai
Michael Kors Outlet,"Via Torino, 71, 10036 Settimo Torinese TO, Italy"
مطعم اليمن السعيد للمندي والمظبي منطقة ابو شغارة,Sheikh Saqr Bin Khalid Al Qasimi St - Sharjah
Family Palace Restaurant,"G Floor,Kuwaiti Building,Maliha Road,Muwailih Commercial، Sharjah National Paint R/A - Sharjah"
Momofuku Noodle Bar,"171 1st Avenue, New York, NY 10003, United States"
Большой Московский Государственный Цирк,"prospekti Vernadskogo, 7, Moscow, Russia, 119296"
توليب للشقق الفندقية,"Area, Behind Al Ain Computer Center - 5 5 A St - Dubai"
Chavakkad Beach Park,"Blangad, Chavakkad, Kerala 680506, India"
Flemminge Golfklubb,"595 51 Mjölby, Sweden"
Hyundai Wallan,"Makkah Al Mukarramah Branch Rd, Riyadh 12311, Saudi Arabia"
New Canal Park Herbancepura,"540004, 3 Canal Rd, Taj Bagh Scheme, Lahore, Punjab, Pakistan"
Imatra ice rink,"Ottelukatu 1, 55420 Imatra, Finland"
"Radisson Blu Bosphorus Hotel, Istanbul","Ortaköy, Çırağan Cd. No:46, 34349 Beşiktaş/İstanbul, Turkey"
Domino Plaza,"Strada Maica Domnului 61-63, București, Romania"
Diamond Pharma Store,England Y04 - Y04 - Dubai
Norrköpings Pizzeria,"Drottninggatan 25, 602 24 Norrköping, Sweden"
Shimla Park,"Block B, Sector 12, Noida, Uttar Pradesh 201301, India"
Kif Kif,Al Seba Street - Dubai
SAS Automotive Services - Authorized Toyota Dealer,"Mohamed Al-Qasim Expressway Baghdad Baghdad IQ 10081، Mohamed Al-Qasim Expy, Baghdad, Iraq"
Lidl,"Nederveen Cappelstraat 45, 9561 KM Ter Apel, Netherlands"
Mog,"Zain Abdoun, Al Umawiyeen St 37, Amman, Jordan"
Two Feet Four Paws - Palm,Golden Mile 4 - Dubai
Petit Palace Arturo Soria,"Calle de Arturo Soria, 14, 28027 Madrid, Spain"
Arsalan Restaurant,Sharjah
Bamboo Lagoon,"Abu Baker Al Siddique Rd, Deira, next to Hamarain Shopping Center - Dubai"
Peace Memorial Park - Hiroshima,"1 Chome-1 Nakajimacho, Naka Ward, Hiroshima, 730-0811, Japan"
Hôtel Familial,"Bab Ezzouar, Algeria"
معرض لوزين للمفروشات,"35, Jordan"
مطعم ميليوس Melius Restaurant,"Masdar City, Irena Building, - Int'l Airport Rd - Abu Dhabi"
Bridgepointe Shopping Center,"2205 Bridgepointe Pkwy, San Mateo, CA 94404, United States"
Layali al sham,أبو ظبي مصفح الصناعية م 2 بجانب ارامكس - Abu Dhabi
"Al Garhoud, Block B",18 45 St - Dubai
Blue Waters Café,"7 The Beachfront Boardwalk, Marine Dr, Summerstrand, Port Elizabeth, 6001, South Africa"
Sama Al-Khair Restaurant,Sharjah
Gelateria La Romana,"Calle de Rosario Pino, 6, 28020 Madrid, Spain"
Karai restaurant,"100 Feet Rd, Near indra gandhi statue, Anna Nagar, Puducherry, 605005, India"
Trattoria Dall'Oste SMN,"Via Luigi Alamanni, 3/5r, 50100 Firenze FI, Italy"
KAARA By The Lake,"119, Annaswamy Mudaliar Rd, Opposite, Halasuru, Bengaluru, Karnataka 560042, India"
شرکت انرژی های تجدید پذیز لوتوس,"District 1, Shiraz, Fars Province, Iran"
5-Täler-Bad,"Schlachthausstraße 30, 73312 Geislingen an der Steige, Germany"
Teniski klub Đukić,"Partizanske avijacije 1, Beograd 11000, Serbia"
Möbel Höffner Hamm,"Unnaer Str. 35, 59069 Hamm, Germany"
Magic Planet,"S3 Opp VOX Cinema, Next to Food Court, Burjuman Mall Burjuman Metro Station - 5 28 A St - Dubai"
LPH Financial Services,Iris Bay - Unit-2004 - Dubai
Mohd Al Qama Building Materials Trdg JAFZA SOUTH,Dubai
Maimona Restaurant,"الشارع العاشر، Al 'Adamah, Dammam 32242, Saudi Arabia"
IKEA,"151 NW 136th Ave, Sunrise, FL 33325, United States"
Netto Filiale,"Rumbacher Str. 1-5, 76891 Bundenthal, Germany"
Smart Link BPO,"شارع المغيرة بن شعبة، Riyadh 12281, Saudi Arabia"
Al Wahda Mall - Abu Dhabi,Hazza Bin Zayed St - Abu Dhabi
Hampton Inn and Suites Savannah-Airport,"70 Stephen S Green Dr, Savannah, GA 31408, United States"
Baniyas Complex,Baniyas Square-14th Rd - Dubai
Chickster,"Passeig de Sant Joan, 66, 08009 Barcelona, Spain"
Debenhams,Financial Center Rd - Dubai
Masjid-e-Salfiya,"Gurappana Palya, New Gurappana Palya, Jayanagara 9th Block, BTM Layout 1, Bengaluru, Karnataka 560029, India"
فندق أوليان | Olian Hotel,"Ath Thumamah Road, Al Yasmin, Riyadh 13322, Saudi Arabia"
Target,"1900 Town Center Blvd, Knoxville, TN 37922, United States"
Al Hallab Restaurant,Unnamed Road - Dubai
Bar El Rubio,"Calle Almedina, 21, 29793 Torrox, Málaga, Spain"
Shyam Heights,"Near sankalp international school, Nikol, Ahmedabad, Gujarat 380038, India"
Velo Café - Speciality Coffee.,"Ground Floor , Aswaq, Next to Islamic Bank, Mizhar - Dubai"
La Quinta Inn & Suites by Wyndham Sunrise Sawgrass Mills,"13651 NW 2nd Pl, Sunrise, FL 33325, United States"
The Colebrook,"Haslucks Green Rd, Shirley, Solihull B90 2LL, United Kingdom"
Domino's Pizza,"Plot No 13&14, Shop No 20,21,22, Ground Floor, Swarna Building, Navrang Road, Sector 7, Kharghar, Mumbai, Maharashtra 410210, India"
Future Vegetables and Fruits,Abu Dhabi
King Khalid International Airport,"Airport Road, King Khalid International Airport, Riyadh Saudi Arabia"
Woodgate Valley Country Park,"Clapgate Ln, Birmingham B32 3DS, United Kingdom"
KFC,"Shop No TF/328, 3rd Floor, Infinity Mall Food Court, New Link Rd, Malad West, Mumbai, Maharashtra 400064, India"
Patchi,"King Fahd Road, Al Faisaliyah, Dammam 32272, Saudi Arabia"
Nanje Yachts Dubai - Rental Yacht & Charter Boat,Dubai
Trattoria Maruumo,"3 Chome-8-14 Akasaka, Minato City, Tokyo 107-0052, Japan"
DentalMobility,"Calea 13 Septembrie 235, București 050723, Romania"
Pret A Manger,"163 Piccadilly, St. James's, London W1J 9ED, United Kingdom"
Afghan Kharasan Hotel,Abu Dhabi
Al Madeev Center,"Masoom Shah Rd, T Block Block T New Multan Colony, Multan, Punjab, Pakistan"
Al Mashhoor Cafeteria,Ajman
Grand Barbeque Restaurant,"Al Mina Road, Opposite Ramada Jumeirah Hotel, Mina Residency shop #5 - Dubai"
Allah Ho Service Station,"Liāqatpur, Rahim Yar Khan, Punjab, Pakistan"
Mubarak Salem Saeed Restaurant,Dubai
ServiceMarket,Reef Tower - Cluster O - Dubai
Galleria Filbyter,"Stora Torget 5, 582 19 Linköping, Sweden"
Riachuelo,"Rua Brigadeiro Franco, 2300 lojas Sct0anc 5, piso L1 - Centro, Curitiba - PR, 80250-903, Brazil"
The villa,"Dbaye, Lebanon"
DoubleTree by Hilton Hotel Lodz,"Łąkowa 29, 90-554 Łódź, Poland"
Casablanca Hotel,"Road, As Salamah, Saqr Quraish، Jeddah 23436, Saudi Arabia"
Ria Maria,The Mall World Trade Center - Abu Dhabi
Just Play Sports Complex,5 15 A St - Dubai
Averda,Tecom - Dubai
Umm Al Quwain Beach,Umm Al Quwain
ADCB ATM - Al Khail Mall,"Ground floor, Al Khail Mall - 318th Rd - Dubai"
El-Shabrawy,"شارع مجدي، حي، النزهة، El Nozha, Cairo Governorate, Egypt"
Zahr El-Laymoun,Al Majaz Waterfront 6 - Sharjah
Costa Coffee,"Sharjah Departure, Food Court - Sharjah"
Ristorante Il Molo 91,"Via Castelfidardo, 12, 00185 Roma RM, Italy"
"The Farm Restaurant, Al Barari",Al Barari - Dubai
The Acai Spot,Marina Gate Retail 112 - Dubai
Star Insurance Svce Co Limited,Sharjah
Azim's Restaurant,"106-108, Lozells Rd, Birmingham B19 2TB, United Kingdom"
Wendy's,Enoc 1073 - Dubai
Aleppo Grill Restaurant,Jamal Abdul Nasir Street - Sharjah
"Bank of Baroda, Bur Dubai",34th St - Dubai
The COVE Yanbu,"Al Bathnah, Yanbu Al Sinaiyah, Yanbu 46451, Saudi Arabia"
Taj Service Station,"81 KM Milestone, Delhi Mathura Highway, Village Banchari, National Highway 2, Haryana 121106, India"
Asmaa Tourism,AB Plaza 7 - Al Ittihad St - Dubai
Kanjiramkulam Junction,"Kanjiramkulam, Kerala 695524, India"
Southglade Park,"Southglade Rd, Nottingham NG5 5GU, United Kingdom"
PAL AUTO GARAGE,"61 20th St, Near Mercedes Center , Al Khabaisi - Dubai"
McDermott Middle East,Dubai
Etihad Tower,Ajman
Shawarma House,"Prince Turki Bin Abdulaziz Althani St, Riyadh 12283, Saudi Arabia"
Casamia Building Material Trading LLC,7 2a St - Dubai
JYOTHIS SUPERMARKET,"G Floor, Al Ghurair Building,Kuwait St,Al Mankhool - Dubai"
flowershop.ae,"Level 41, Emirates Towers - Sheikh Zayed Rd - Dubai"
Kamunhu Shopping Centre,"Harare, Zimbabwe"
Al Manama Centre,401 Al Sharq Street
Chalmeda Anand Rao Institute of Medical Sciences,"Bommakal Village, Karimnagar, Telangana 505001, India"
City Complex,"KL SH 39, Shanti Nagar, Perintalmanna, Kerala 679322, India"
Hotel Maheswari,"High Rd, Christopher Nagar, Ollur, Thrissur, Kerala 680306, India"
Ruda Chebzie,"Dworcowa, 41-709 Ruda Śląska, Poland"
Arthur's Theme,"Shop No 25, Panchshil Business Park, High Street, Balewadi Baner Link Road, Balewadi, Pune, Maharashtra 411045, India"
SpringHill Suites by Marriott Raleigh-Durham Airport/Research Triangle Park,"920 Slater Rd, Durham, NC 27703, United States"
Tanum Shopping,"Brehogsvägen 5, 457 32 Tanumshede, Sweden"
STARBUCKS COFFEE,"Al Ihsa, Az Zahra, Riyadh 12811, Saudi Arabia"
Sheil Wemshe,"Salmiya, Kuwait"
Housefull,"GROUND FLOOR, NO.86 SHUBHODAYA, Railway Parallel Rd, Kumara Park West, Bengaluru, Karnataka 560020, India"
Des Pardes Restaurant - 24 Hours,Near Lamcy Square - 10th St - Dubai
Nusr-Et Burger Nişantaşı,"Harbiye, Abdi İpekçi Cd. 57/A, 34367 Şişli/İstanbul, Turkey"
"Jebel Ali Waterfront, Omran Entrance",Dubai
Canadian Montessori Nursery,Sharjah
Sharif Caterers,"47, NIBM Galli Number 2, Kausar Baugh, Kondhwa, Pune, Maharashtra 411048, India"
Hotel Racibor,"Wojska Polskiego 25, 47-400 Racibórz, Poland"
Philippine Supermarket LLC,Beside West Zone Super Market - Al Muraqqabat Rd - Dubai
حديقة حي بدر,"Al Haras Al Watani, 2703, Dhahran 34232, Saudi Arabia"
عالم مدهش,26 Sheikh Zayed Rd - Dubai
Woodlands Restaurant,"Muscat, Oman"
The Coffee Bean & Tea Leaf Nihonbashi-itchome,"Tokyotatemono Nihonbashi Building, 1F 1 Chome-3-13 Nihonbashi, Chuo City, Tokyo 103-0027, Japan"
Central Inn Baku Hotel & Hostel,"41 ул. Истиглалият, Baku, Azerbaijan"
Mimar Sinan Tomb,"Süleymaniye, Mimar Sinan Cd. No:52, 34116 Fatih/İstanbul, Turkey"
The Brooks Shopping Centre,"Middle Brook St, Winchester SO23 8QY, United Kingdom"
Najd Palace Restaurant and Kitchen,Building 818 Al Falah St - Abu Dhabi
Saudi Post Central Branch,"9th Street, Al Adamah، Muhammed Ibn Saud, Dammam 32241, Saudi Arabia"
"Terminal Food Court, Infosys Limited","Infosys Avenue, Electronics City Phase 1, Electronic City, Bengaluru, Karnataka 560100, India"
Grand Hotel Des Bains,"Via Mezdi 27, 7500 St. Moritz, Switzerland"
Pizza Hut,"850 Van Houten Ave, Clifton, NJ 07013, United States"
Aspire Lounge,"Heathrow Airport, Terminal 5, Wallis Rd, Longford, Hounslow TW6 2GA, United Kingdom"
RKS Multi Brand Car Service,"Plot No 55 & 56, Chandravilas Lane, X Road, Nagole, Hyderabad, Telangana 500068, India"
Restaurang Ribersborg,"Limhamnsvägen 27, 217 59 Malmö, Sweden"
Sushi Arigato,"Wodna 5, 44-100 Gliwice, Poland"
Meerab,"High Street, Sahiwal, Sahiwal District, Punjab 57000, Pakistan"
Pizza Hut,"Al Mazoon Street Building No:34, Muscat, Oman"
Asian Palace Restaurant & Grand Party Halls,"1st Floor, Mubarak Center, Al Sharq St. - Sharjah"
Starbucks,"64000, Klia Departure, Kuala Lumpur International Airport, 43900 Sepang, Selangor, Malaysia"
"Awani Levant, City Centre Mirdif",Mirdif City Centre - Dubai
Tripoli Sweets,"Shop # 3, Abdur Rahman Al Hamily Building، 12th Street, Khalidiya - Abu Dhabi"
Ets Raymond Lacan Et Fils,"Place marché couvert, 12170 Requista, France"
Saraya Corniche Hotel,"Al Safliya Street, Zone No.18, Building No.1، Doha, Qatar"
Al Ahli Metal Establishment,Sharjah
Rahim Store,"Street Number 7, Sutlej Block Satluj Block Allama Iqbal Town, Lahore, Punjab 54000, Pakistan"
Haji Ali Juice Center,"Oud Metha,Near Lamcy Plaza - Dubai"
사계절가든,"South Korea, Gyeongsangnam-do, Gimhae-si, Jangyu-myeon, Daecheong-ri, 800-53"
Postombud på Coop Konsum Ed,"Delesgatan 7, 668 30 Ed, Sweden"
Hotel Park,"1 Al Corniche St, Doha, Qatar"
HappyLand Braost 16th,"Al Khobar Al Shamalia, Al Khobar 34425, Saudi Arabia"
Ake,"Piazza Giovanni Jemina, 12084 Mondovì CN, Italy"
Kalia Beach,"Kalia d.n arvot hayarden 9066600, Kalia"
King Danylo Halytskyi Statue,"Halytska Square, Lviv, Lviv Oblast, Ukraine, 79000"
Aroma market,"Kneza Mihaila Obrenovića 69, Pančevo, Serbia"
Domino's,"209 Soi Kraisih, Talat Yot, Phra Nakhon, Bangkok 10200, Thailand"
김해장유7차푸르지오아파트관리,"South Korea, Gyeongsangnam-do, Gimhae-si, Jangyu-myeon, Sammun-ri, 62-2"
African Eastern Liquor Store M2,"M34,Musahffah Industrial Area,Near KM Trading - Abu Dhabi"
Hazrat Tajuddin Baba Dargah,"Umreth Road Near, Dighori, Nagpur, Maharashtra 440009, India"
مطعم محبوب,"King Fahd Rd, Riyadh 13315, Saudi Arabia"
Swandor Hotels & Resorts Topkapı Palace,"Kundu Mahallesi Yaşar Sobutay Bulvarı No:442, 07112 Aksu, Turkey"
Bar-Kebab Istanbul,"Carrer De Descartes, 08006 Barcelona, Spain"
Ristorante Lataverna VIII,"Kirchdorfstraße 2c, 6794 Gaschurn, Austria"
Model Village Godshill,"High St, Godshill, Ventnor PO38 3HH, United Kingdom"
McDonald's Restaurant,"Istanbulstraße 1, 51103 Köln, Germany"
Tafawa Balewa Square,"45/57 Massey Bamgboshe Street, Lagos Island, Lagos, Nigeria"
Sai Baba Temple,"335/1, Sampige Rd, Vyalikaval, Kodandarampura, Malleshwaram, Bengaluru, Karnataka 560003, India"
Mąka i Woda,"Chmielna 13a, 00-021 Warszawa, Poland"
